Current Date,Ticker,Name,Lower Fractal Range,Upper Fractal Range,Last Price,Downside,Upside,Upside / Downside,Position on Range in %,30D HH/LL,Trend,Long Term: Lower Fractal Range,Long Term: Upper Fractal Range,Long Term: Upside / Downside,Long Term: Position on Range in %,Range spread,Relative Range,1 year Hurst
05/04/2022,SARK,Collaborative Investment Series Trust - Tuttle Capital Short Innovation ETF,55.255,63.91,60.202,-8.22%,6.16%,0.75,0.57,bullish,bullish,39.94,71.71,0.67,0.60,8.654999999999994,14.38%,N/A
05/04/2022,SJB,ProShares Short High Yield,18.449,18.915,18.72,-1.45%,1.04%,0.72,0.58,bullish,bullish,17.98,19.33,0.80,0.56,0.4659999999999975,2.49%,0.63
05/04/2022,SPY,SPDR S&P 500 ETF Trust,400.873,430.061,419.28,-4.39%,2.57%,0.59,0.63,bearish,bearish,388.66,460.14,1.75,0.36,29.187999999999988,6.96%,0.61
05/04/2022,SQQQ,ProShares UltraPro Short QQQ,41.528,53.023,46.1547,-10.02%,14.88%,1.48,0.40,bullish,bullish,25.02,58.75,0.57,0.64,11.495000000000005,24.91%,0.64
05/04/2022,TBT,ProShares UltraShort 20+ Year Treasury,23.803,26.495,25.3,-5.92%,4.72%,0.80,0.56,bullish,bullish,21.80,27.58,0.66,0.60,2.692,10.64%,0.65
05/04/2022,TLT,iShares 20+ Year Treasury Bond ETF,115.292,121.692,118.1,-2.38%,3.04%,1.28,0.44,bearish,bearish,112.77,126.08,1.60,0.38,6.3999999999999915,5.42%,0.65
05/04/2022,UNG,United States Natural Gas Fund  LP,22.137,29.976,28.87,-23.32%,3.83%,0.16,0.86,bullish,bullish,21.31,31.61,0.36,0.73,7.838999999999999,27.15%,0.66
05/04/2022,URNM,North Shore Global Uranium Mining ETF,65.357,80.719,73.6389,-11.25%,9.61%,0.85,0.54,bearish,bearish,64.73,93.92,2.34,0.30,15.361999999999995,20.86%,0.67
05/04/2022,USO,United States Oil Fund  LP,72.641,83.638,80.2018,-9.43%,4.28%,0.45,0.69,bullish,neutral,60.78,95.79,0.91,0.52,10.997,13.71%,0.66
05/04/2022,UUP,Invesco DB US Dollar Index Bullish Fund,27.345,27.973,27.59,-0.89%,1.39%,1.56,0.39,bullish,bullish,26.80,28.17,0.72,0.58,0.6280000000000001,2.28%,0.63
05/04/2022,VEGI,iShares MSCI Global Agriculture Producers ETF,43.318,48.656,46.41,-6.66%,4.84%,0.73,0.58,bearish,bullish,43.32,52.03,1.80,0.36,5.338000000000001,11.50%,0.65
05/04/2022,VIXM,ProShares VIX Mid-Term Futures ETF,32.774,36.439,33.7399,-2.86%,8.00%,2.79,0.26,bullish,bullish,30.18,39.14,0.86,0.54,3.664999999999999,10.86%,0.59
05/04/2022,XLE,Energy Select Sector SPDR Fund,72.093,81.979,80.37,-10.30%,2.00%,0.19,0.84,neutralDanger,bullish,71.97,87.74,1.42,0.41,9.885999999999996,12.30%,0.64
05/04/2022,ZROZ,PIMCO 25+ Year Zero Coupon U.S. Treasury Index Exchange-Traded Fund,109.458,117.298,113.16,-3.27%,3.66%,1.12,0.47,bearish,bearish,105.64,123.54,1.52,0.40,7.840000000000003,6.93%,0.66
05/04/2022,^DXY,US Dollar Index,102.405,104.945,103.456,-1.02%,1.44%,1.42,0.41,bullish,bullish,100.21,105.48,0.62,0.62,2.539999999999992,2.46%,N/A
05/04/2022,^US10Y,U.S. 10 Year Treasury,2.764,3.063,3.0004,-7.88%,2.09%,0.26,0.79,bullish,bullish,2.28,3.53,0.73,0.58,0.2990000000000004,9.97%,N/A
05/04/2022,^US30Y,U.S. 30 Year Treasury,2.878,3.159,3.0644,-6.08%,3.09%,0.51,0.66,bullish,bullish,2.57,3.33,0.54,0.65,0.2809999999999997,9.17%,N/A
05/04/2022,^VIX,CBOE Volatility Index,21.798,39.155,28.54,-23.62%,37.19%,1.57,0.39,bullish,neutral,12.61,43.53,0.86,0.54,17.357000000000003,60.82%,0.53
