Current Date,Ticker,Name,Lower Fractal Range,Upper Fractal Range,Last Price,Downside,Upside,Upside / Downside,Position on Range in %,30D HH/LL,Trend,Long Term: Lower Fractal Range,Long Term: Upper Fractal Range,Long Term: Upside / Downside,Long Term: Position on Range in %,Range spread,Relative Range,3-month Hurst,1-year Hurst
05/18/2022,SMH,VanEck Vectors Semiconductor ETF,215.39,254.42,230.74,-6.65%,10.26%,1.54,0.39,bearish,bearish,210.48,280.54,2.31,0.30,39.03,16.92%,0.64,0.64
05/18/2022,SOXS,Direxion Daily Semiconductor Bear 3X Shares,34.739,57.564,48.955,-29.04%,17.59%,0.61,0.62,bearish,neutral,21.34,63.24,0.85,0.54,22.825000000000003,46.62%,0.64,0.62
05/18/2022,SPY,SPDR S&P 500 ETF Trust,383.454,425.803,395.52,-3.05%,7.66%,2.51,0.28,bearish,bearish,383.45,453.78,1.83,0.35,42.34899999999999,10.71%,0.68,0.63
05/18/2022,SQQQ,ProShares UltraPro Short QQQ,41.737,61.742,55.7601,-25.15%,10.73%,0.43,0.70,bullish,neutral,25.64,61.74,0.49,0.67,20.004999999999995,35.88%,0.68,0.64
05/18/2022,TBT,ProShares UltraShort 20+ Year Treasury,24.998,28.744,26.07,-4.11%,10.26%,2.49,0.29,bullish,bullish,24.00,29.58,1.02,0.50,3.7459999999999987,14.37%,0.67,0.66
05/18/2022,TLT,iShares 20+ Year Treasury Bond ETF,110.08,118.341,116.048,-5.14%,1.98%,0.38,0.72,bearish,bearish,108.41,120.45,0.99,0.50,8.260999999999996,7.12%,0.66,0.66
05/18/2022,TZA,Direxion Daily Small Cap Bear 3X Shares,34.699,51.51,43.86,-20.89%,17.44%,0.84,0.54,bullish,neutral,26.45,51.51,0.81,0.55,16.811,38.33%,0.7,0.63
05/18/2022,UNG,United States Natural Gas Fund  LP,22.767,33.134,28.45,-19.98%,16.46%,0.82,0.55,bullish,bullish,22.77,34.73,1.11,0.47,10.367,36.44%,0.64,0.66
05/18/2022,USO,United States Oil Fund  LP,73.524,85.305,79.37,-7.37%,7.48%,1.02,0.50,bullish,bullish,63.45,100.25,1.08,0.48,11.781000000000006,14.84%,0.66,0.65
05/18/2022,UUP,Invesco DB US Dollar Index Bullish Fund,27.364,28.114,27.725,-1.30%,1.40%,1.08,0.48,bullish,bullish,26.88,28.26,0.84,0.54,0.75,2.71%,0.68,0.61
05/18/2022,VGK,Vanguard FTSE Europe Index Fund ETF Shares,54.016,59.586,56.85,-4.99%,4.81%,0.97,0.51,bearish,bearish,50.19,65.46,0.91,0.52,5.57,9.80%,0.73,0.64
05/18/2022,VIXM,ProShares VIX Mid-Term Futures ETF,32.402,37.813,35.49,-8.70%,6.55%,0.75,0.57,bullish,bullish,29.86,38.22,0.79,0.56,5.411000000000001,15.25%,0.67,0.59
05/18/2022,XBI,SPDR S&P Biotech ETF,59.223,76.499,68.47,-13.51%,11.73%,0.87,0.54,bearish,bearish,59.22,86.61,1.24,0.45,17.275999999999996,25.23%,0.72,0.64
05/18/2022,XLE,Energy Select Sector SPDR Fund,76.491,88.628,81.76,-6.44%,8.40%,1.30,0.43,bullish,bullish,75.13,93.36,1.09,0.48,12.137,14.84%,0.66,0.63
05/18/2022,^DXY,US Dollar Index,102.259,105.004,103.3,-1.01%,1.65%,1.64,0.38,bullish,bullish,100.42,105.79,0.87,0.54,2.7450000000000045,2.66%,N/A,N/A
05/18/2022,^US10Y,U.S. 10 Year Treasury,2.716,3.15,2.8795,-5.68%,9.39%,1.65,0.38,bullish,bullish,2.66,3.51,2.92,0.26,0.4339999999999997,15.07%,N/A,N/A
05/18/2022,^US30Y,U.S. 30 Year Treasury,2.933,3.297,3.0807,-4.79%,7.02%,1.46,0.41,bullish,bullish,2.75,3.43,1.07,0.48,0.3640000000000003,11.82%,N/A,N/A
05/18/2022,^VIX,CBOE Volatility Index,20.583,34.03,29.45,-30.11%,15.55%,0.52,0.66,neutral,neutral,11.75,37.79,0.81,0.55,13.447000000000003,45.66%,0.68,0.52
05/18/2022,^VVIX:^VIX,^VVIX:^VIX,3.412,4.356,3.6797962648556877,-7.28%,18.38%,2.53,0.28,bearish,bearish,2.96,5.55,1.82,0.35,0.944,25.65%,N/A,N/A
